Sürdürülebilir Kalkınma Amaçları (2015-2030) kaç tanedir?;ORTA;17;16;8;9
Dünya Sıfır Atık Günü hangi gün kutlanır?;ZOR;30.Mar;6.Haz;20.Mar;8.Haz
Hangisi tek kullanımlık ürün değildir?;KOLAY;Cam bardak;Pet su şişesi;Plastik bardak;Kulak çubuğu
Hangisi sürdürülebilir kalkınma boyutlarından değildir?;ORTA;Sanatsal;Çevresel;Sosyal;Ekonomik
Dünya Çevre Günü hangi gün kutlanır?;ZOR;5.Nis;6.Haz;20.Mar;15.Nis
Sürdürülebilir Kalkınma Amaçları içerisindeki hangi amaç diğerlerini birleştirici bir nitelik taşımaktadır?;ORTA;Amaçlar için ortaklıklar;İklim eylemi;Karasal yaşam;Yoksulluğa son
Hangisi toprak kirliliğine neden olmaz?;KOLAY;Ağaç yaprakları;Tarım ilaçları;Toprağa sızan deterjanlı sular;Toprağa atılan piller
Hangisi çevreyi oluşturan cansız varlıklardan biri değildir?;KOLAY;Bakteri;Toprak;Hava;Su
Hangi yakıt çevreyi daha fazla kirletir?;KOLAY;Kömür;Elektrik ;LPG;Doğal gaz
Hangi canlı doğal çevreye daha fazla zarar vermektedir?;KOLAY;İnsan;Goril;Aslan;Yılan
Çevre koruma bilincinin hayata geçirilmesini sağlayan temel faktör hangisidir?;ORTA;Davranış değişikliğinin sağlanabilmesi;Doğada vakit geçirme;ilgi paylaşımı;Dayanışma 
Hangisi çevre sorunlarından biri değildir?;ORTA;Bitki sayısındaki artış;Aşırı nüfus artışı;Plansız kentleşme;Yenilenemez enerji kaynaklarının kullanımı
Hangisi iklim değişikliği ile mücadele konusunda gerçekleştirilen etkinliklerden biri değildir?;ZOR;New York Konferansı;Paris Anlaşması;Habitat II;Brutland Raporu
Hangi iklim konferansı İstanbul'da gerçekleşmiştir?;ZOR;Habitat II;Paris Anlaşması;Rio Konferansı;COP28
2023 yılında Birleşik Arap Emirlikliklerinde gerçekleşen konferans kaçıncı iklim değişikliği konferansıdır?;ZOR;28;25;22;20
Hangisi hava kirliliğine neden olan faktörlerden değildir?;KOLAY;Erozyon;Motorlu taşıtlar;Sanayi;Fosil yakıtlar
Limit Aşım Günü (Earth Overshoot Day) nedir?;ZOR;Dünya'nın doğal kaynaklarının tükendiği gün;Dünya'nın dönemsel olarak dengede olduğu gün;Dünya'nın aşırı nüfus artışının başladığı gün;Dünya'nın iklim değişikliğinin etkilerinin en belirgin olduğu gün
